                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.424,                 2.4579,                0.71765,                 4.1699,                 2.2591,                0.03846,                0.15556,                0.02557,                 0.0102,                0.14835,                    0.6,                0.33036,                0.11686,                 2.5427,                  2.577,                0.72518,                 4.6505,                 2.5259,                 0.0001,                 0.0001,                 0.0001
                      2,                 1.9495,                 2.6696,                0.69267,                 2.7318,                  1.851,                0.58766,                0.82346,                0.69271,                0.41955,                0.71536,                0.78196,                0.79071,                0.29368,                  1.266,                 2.7473,                0.70596,                 1.3476,                 1.4065,             0.00021782,             0.00021782,             0.00021782
                      3,                 1.4791,                 2.3673,                0.65901,                 1.3949,                 1.4057,                0.81716,                0.86667,                0.86754,                0.47114,                0.67171,                    0.8,                0.71834,                0.30711,                 1.2182,                 2.6142,                0.68114,                 1.1311,                 1.3581,             0.00033327,             0.00033327,             0.00033327
                      4,                 1.4089,                 2.0288,                0.64139,                 1.0671,                 1.3512,                0.88172,                0.93333,                0.88672,                0.56491,                0.86262,                0.83733,                0.81909,                0.36693,                 1.1235,                 2.4982,                 0.6579,                0.91416,                 1.2629,             0.00044634,             0.00044634,             0.00044634
                      5,                 1.4236,                 1.8677,                0.61439,                0.99493,                 1.2927,                0.80046,                0.86667,                0.87208,                0.53616,                0.82144,                0.88889,                0.87351,                0.45165,                 1.2942,                 2.2613,                0.66028,                 1.0986,                 1.3229,             0.00055703,             0.00055703,             0.00055703
                      6,                 1.4137,                 1.5766,                0.62379,                 1.0364,                 1.3195,                0.82471,                0.88889,                0.82623,                0.43722,                0.88014,                0.84444,                0.86347,                0.46013,                 1.5418,                 1.9357,                0.63819,                 1.0275,                 1.4587,             0.00066535,             0.00066535,             0.00066535
                      7,                 1.5744,                 1.4489,                0.61976,                 1.1324,                  1.357,                0.75137,                0.80595,                0.81326,                0.40768,                0.73118,                0.78586,                0.78111,                0.50346,                 1.6262,                 1.7486,                0.61541,                 1.0488,                 1.4663,             0.00077129,             0.00077129,             0.00077129
                      8,                 1.3735,                 1.2272,                0.59615,                 1.0081,                 1.2938,                0.64538,                0.66667,                0.70164,                0.42675,                0.67325,                0.71111,                0.74867,                 0.5003,                 1.4652,                 1.4972,                0.60737,                 1.1817,                 1.5178,             0.00087486,             0.00087486,             0.00087486
                      9,                 1.4039,                 1.2013,                 0.5838,                 1.0459,                 1.3389,                0.66673,                0.51111,                0.60472,                0.28345,                0.74743,                0.68889,                0.71976,                0.54668,                 1.8554,                 1.5962,                0.55772,                 1.5608,                 1.7536,             0.00097605,             0.00097605,             0.00097605
                     10,                 1.4201,                 1.1002,                0.57166,                0.96842,                 1.3401,                0.71928,                0.68337,                0.74276,                0.32621,                0.79589,                0.77778,                0.83245,                0.61729,                   1.98,                 1.5238,                0.53821,                 1.4599,                 1.9728,              0.0010749,              0.0010749,              0.0010749
                     11,                 1.3971,                0.79303,                0.55115,                0.95288,                 1.3439,                0.72577,                0.88889,                0.80488,                0.39772,                0.76911,                0.88828,                0.85442,                0.76906,                  1.581,                0.84411,                0.48156,                 1.3726,                 1.4935,              0.0011713,              0.0011713,              0.0011713
                     12,                  1.471,                0.69468,                 0.5381,                 1.0472,                 1.3944,                0.62696,                0.67236,                 0.6962,                0.31356,                0.62696,                0.67236,                0.69793,                0.57969,                 1.6866,                0.79208,                0.46761,                 1.7377,                 1.5354,              0.0012654,              0.0012654,              0.0012654
                     13,                 1.3398,                 0.6433,                0.54481,                0.96144,                 1.2851,                0.77956,                0.62222,                0.76962,                0.35595,                0.77956,                0.62222,                0.75835,                0.65406,                  1.647,                0.91698,                 0.4963,                 1.5367,                 1.5958,               0.001357,               0.001357,               0.001357
                     14,                 1.3575,                0.52916,                0.54912,                0.91042,                 1.3127,                0.80296,                    0.6,                0.79507,                 0.4577,                0.68643,                0.71111,                0.82944,                0.69887,                 1.4408,                0.87769,                0.44224,                 1.1967,                  1.517,              0.0014464,              0.0014464,              0.0014464
                     15,                 1.4117,                0.58737,                0.52665,                0.94019,                 1.3076,                0.69447,                0.82222,                0.83231,                0.45991,                0.74897,                0.86199,                0.88393,                0.75883,                 1.4852,                0.81506,                0.38157,                 1.3178,                 1.5503,              0.0015333,              0.0015333,              0.0015333
                     16,                 1.3809,                0.57631,                0.51944,                0.94765,                 1.3063,                0.75905,                0.84013,                 0.8384,                0.39141,                0.77886,                0.86102,                0.89704,                0.70867,                 1.5962,                0.97245,                0.37987,                 1.9255,                 1.7467,              0.0016179,              0.0016179,              0.0016179
                     17,                 1.4796,                0.54663,                0.53069,                 0.9932,                 1.4116,                0.72328,                0.87133,                0.83182,                0.41206,                0.81395,                0.87511,                0.91205,                0.75616,                  1.677,                0.70328,                 0.3087,                 1.7568,                 1.6793,              0.0016832,              0.0016832,              0.0016832
                     18,                  1.479,                0.52489,                0.54134,                0.99077,                 1.3857,                0.79257,                0.86667,                0.89146,                 0.5116,                0.83796,                0.91943,                0.93547,                0.85103,                 1.4414,                0.60048,                0.30176,                   1.46,                 1.4943,              0.0016832,              0.0016832,              0.0016832
